RegDate,Interested Course Code,Interested Course Name,Course Category,Course Type,Area of Interest,Sub-interest
2025-01-31,NYP-DXSP09,SPECIALIST DIPLOMA IN SPATIAL DESIGN,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Design & Architecture,Others
2025-01-31,NYP-EGSPA1,Post-Diploma Certificate in GxP of Operations Management (part of Specialist Diploma in Biomedical & Pharmaceutical Engineering),(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),Engineering;Engineering;Engineering;Engineering;Science,Biomedical Manufacturing;Precision Engineering;Regulatory Compliance;Robotics And Automation;Pharmaceutical Sciences
2025-01-31,NYP-EGSPA2,Post-Diploma Certificate in GxP of Quality Assurance & Compliance (QAC) (part of Specialist Diploma in Biomedical & Pharmaceutical Engineering),(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),Engineering;Science;Engineering;Engineering;Engineering,Biomedical Manufacturing;Pharmaceutical Sciences;Precision Engineering;Regulatory Compliance;Robotics And Automation
2025-01-31,NYP-EGSPA6,Post-Diploma Certificate in IoT Implementation for Sustainability Solutioning (part of Specialist Diploma in IoT for Sustainable Solutioning),(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),Engineering;Engineering;Engineering;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Business,Automotive Technology;Infocomm Technology;Wireless Technology;Artificial Intelligence;Blockchain;Cloud Computing;Cyber Security;Data Analytics;Digital Literacy;Geospatial;IT Automation;IT Network & Infrastructure;Mobile Computing;Network Technology & Systems;Others;Programming & Coding;Software Development & Quality;Virtualisation Technology;Supply Chain Management
2025-01-31,NYP-HSCP07,CERTIFICATE IN BRIDGING STUDIES FOR ENROLLED NURSE,(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Others;Public Health & Social Services,Others;Nursing
2025-01-31,NYP-ITDP04,Diploma in Infocomm & Digital Media (IT Network and System Administration)-DINSA2,(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Engineering;Others;Technology;Technology;Engineering,Converged Infocomm Infrastructure;Others;IT Network & Infrastructure;Network Technology & Systems;Infocomm Technology
2025-01-31,NYP-ITEP02,Work-Study Post-Diploma (Specialist Diploma in Agile Solutioning & DevSecOps),(WSP) Work-Study Programmes,(WSPSD) Work-Study Post-Diploma Specialist Diploma,Professional Development,Critical Thinking / Problem Solving
2025-01-31,NYP-ITLP01,Work-Study Certificate (Leading to Diploma in Infocomm and Digital Media (IT Network and System Administration))-DINSA2,(WSP) Work-Study Programmes,(WSC2PTD) Work-Study Certificates Leading To Part-Time Diploma,Engineering;Engineering;Technology;Others;Technology,Converged Infocomm Infrastructure;Infocomm Technology;IT Network & Infrastructure;Others;Network Technology & Systems
2025-01-31,NYP-ITSP11,Specialist Diploma in Agile Solutioning & DevSecOps,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology;Technology;Technology;Technology,Software Development & Quality;Network Technology & Systems;Others;Programming & Coding
2025-01-31,NYP-ITSP12,Specialist Diploma in Applied Artificial Intelligence-PCM,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology,Artificial Intelligence
2025-01-31,NYP-ITSP12,Specialist Diploma in Applied Artificial Intelligence-PCM,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology,Artificial Intelligence
2025-01-31,NYP-ITSP12,Specialist Diploma in Applied Artificial Intelligence-PCM,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology,Artificial Intelligence
2025-01-31,NYP-ITSP13,Specialist Diploma in Cybersecurity-PCM,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology;Engineering;Technology;Technology;Technology;Technology,Cyber Security;Infocomm Technology;IT Network & Infrastructure;Mobile Computing;Network Technology & Systems;Software Development & Quality
2025-01-31,NYP-SI4058_002,"Generative AI Content Creation: Super Sprint Your Sales and Marketing Performance [Classroom Facilitated, Practical]",(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business;Business;Technology,Retail;Sales & Marketing;Artificial Intelligence
2025-01-31,NYP-SI4059_002,Generative AI Content Creation: Super Sprint Your Sales and Marketing Performance [Practical],(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business;Business;Technology,Retail;Sales & Marketing;Artificial Intelligence
2025-01-31,NYP-SI4060_001,"Accelerate Sales & Conversions with AI-Powered Data Analytics [Classroom Facilitated, Practical Training]",(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Business;Technology;Technology,Retail;Data Analytics;Artificial Intelligence
2025-01-31,NYP-SI4064_007,"YouTube Content Creation: Develop Your Unique Brand that Stands Out and Drives Engagement [Classroom Facilitated, Asynchronous E-Learning]",(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business;Business,Retail;Wholesale Trade
2025-01-30,NYP-BMEP01,Work -Study Post-Diploma (Specialist Diploma Human Capital Management),(WSP) Work-Study Programmes,(WSPSD) Work-Study Post-Diploma Specialist Diploma,Business,Human Resource
2025-01-30,NYP-BMSP13,Specialist Diploma in Human Resource Management,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Business,Others;Human Resource
2025-01-30,NYP-BMSP16,Specialist Diploma in Fund Management & Administration,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Business,Others;Banking & Finance
2025-01-30,NYP-BMSP18,Specialist Diploma in Sport Management & Marketing,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Business;Others;Business,Sports & Wellness;Others;Marketing
2025-01-30,NYP-CB1310,Digital Video Production,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Interactive & Digital Media,Digital Media
2025-01-30,NYP-CB1333,Consumer Behaviour,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Sales & Marketing
2025-01-30,NYP-CB1370,Digital Event Management,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Infocomm Technology
2025-01-30,NYP-CB1536,Certificate in Fund Administration,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Banking & Finance
2025-01-30,NYP-CB1573,INTRODUCTION TO SUSTAINABILITY FOR HOSPITALITY BUSINESSES,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Hospitality & Tourism
2025-01-30,NYP-CB1573,INTRODUCTION TO SUSTAINABILITY FOR HOSPITALITY BUSINESSES,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Hospitality & Tourism
2025-01-30,NYP-CB231023,Sustainability in Sourcing & Procurement Strategies,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Others
2025-01-30,NYP-CB241006,Hospitality Industry Analytics,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Hospitality & Tourism
2025-01-30,NYP-CB243001,(SCTP) Certificate in Digital Marketing & Content Curation,(CC) Certifiable Courses,(SCTP) SkillsFuture Career Transition Programme,Interactive & Digital Media,Others
2025-01-30,NYP-CE0398,Design Thinking Workshop,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,Engineering,Engineering Design
2025-01-30,NYP-CE0414,3D Printing,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,Engineering,Precision Engineering
2025-01-30,NYP-CE1142,Digital world of 3D printing,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Precision Engineering
2025-01-30,NYP-CE1210,Smart IoT Basics,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Others;Engineering,Industry 4.0;Others;Wireless Technology
2025-01-30,NYP-CE1231,Coding for Beginners,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Infocomm Technology
2025-01-30,NYP-CE1305,Hands-On 3D Printing & Modelling,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Others;Engineering,Precision Engineering;Others;Industry 4.0
2025-01-30,NYP-CE1353,Future of Connected Homes and Devices (Classroom & Synchronous eLearning),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Engineering,Infocomm Technology;Wireless Technology
2025-01-30,NYP-CE1358,Design Thinking Workshop,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Engineering Design
2025-01-30,NYP-CE1380,Deep Dive into 3D Printing (Classroom and Synchronous),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Precision Engineering
2025-01-30,NYP-CE1502,"Digital Manufacturing:  3D Printing Applications (Classroom, Synchronous e-Learning)",(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Engineering,Precision Engineering;Industry 4.0
2025-01-30,NYP-CE1535,Build Mobile Apps with No-code Platform,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Technology,Industry 4.0;Programming & Coding
2025-01-30,NYP-CE1543,Software Quality Assurance Essentials,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Engineering,Industry 4.0;Infocomm Technology
2025-01-30,NYP-CE2007,Introduction to Design Thinking,(CC) Certifiable Courses,(CCS) Critical Core Skills,Engineering,Engineering Design
2025-01-30,NYP-CE2008,Simple Ways for Beginners to Learn Coding,(CC) Certifiable Courses,(CCS) Critical Core Skills,Engineering;Technology,Infocomm Technology;Programming & Coding
2025-01-30,NYP-CE2009,Simple Ways for Beginners to Learn Coding (Synchronous E-learning),(CC) Certifiable Courses,(CCS) Critical Core Skills,Engineering;Technology,Infocomm Technology;Programming & Coding
2025-01-30,NYP-CE231013,Deep Dive into 3D Printing,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Precision Engineering
2025-01-30,NYP-CE231017,9-Day Precision Engineering Assessment & Reskilling Lab (PEARL) Conventional Machining,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Precision Engineering
2025-01-30,NYP-CE231019,Build Mobile Apps with No-code Platform  (Synchronous e-Learning),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Technology;Engineering,Programming & Coding;Industry 4.0
2025-01-30,NYP-CE246001,AI Roadmapping for Companies and Enterprises,(NCC) Non-Certifiable Courses,(SMN) Seminars and Webinars,Technology,Artificial Intelligence
2025-01-30,NYP-CH1348,Phlebotomy Short Course,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Public Health & Social Services;Public Health & Social Services,Healthcare;Others
2025-01-30,NYP-CI1236,Computational Thinking and Coding,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Others,Others
2025-01-30,NYP-CL0443,EAT HEALTHY & STAY BEAUTIFUL THROUGH TCM-INFUSED DIET,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,Food;Food,Food Nutrition & Sciences;Food Technology & Safety
2025-01-30,NYP-CL0524,"The Science of Aging Gracefully: Diet, Exercise & Skin Care",(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,Food,Food Nutrition & Sciences
2025-01-30,NYP-CL0524,"The Science of Aging Gracefully: Diet, Exercise & Skin Care",(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,Food,Food Nutrition & Sciences
2025-01-30,NYP-CL1300,Understanding the immune system and how medication interacts with it,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Others,Others
2025-01-30,NYP-CL1302,Functional food in human studies,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Others,Others
2025-01-30,NYP-EGDP07,Diploma in Engineering (Public Transport Operations),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Engineering;Engineering;Technology;Engineering,Human Factor Engineering;Others;Programming & Coding;Mechanical Engineering
2025-01-30,NYP-EGSP19,Specialist Diploma in Robotics and Automation Systems Design,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Engineering,Robotics And Automation
2025-01-30,NYP-EGSPA4,Post Diploma Certificate in Sustainability Reporting and ESG Data Management (part of Specialist Diploma in Carbon Management for Sustainability Reporting),(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),Engineering;Engineering;Engineering;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Technology;Business,Automotive Technology;Infocomm Technology;Wireless Technology;Artificial Intelligence;Blockchain;Cloud Computing;Cyber Security;Data Analytics;Digital Literacy;Geospatial;IT Automation;IT Network & Infrastructure;Mobile Computing;Network Technology & Systems;Others;Programming & Coding;Software Development & Quality;Virtualisation Technology;Supply Chain Management
2025-01-30,NYP-HSAF41,Advanced Diploma in Nursing (Gerontology)-ADGR1,(AD) Advanced Diploma,(FQ) Academic Full Qualification,Public Health & Social Services,Nursing
2025-01-30,NYP-HSCP07,CERTIFICATE IN BRIDGING STUDIES FOR ENROLLED NURSE,(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Others;Public Health & Social Services,Others;Nursing
2025-01-30,NYP-ITDP04,Diploma in Infocomm & Digital Media (IT Network and System Administration)-DINSA2,(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Engineering;Others;Technology;Technology;Engineering,Converged Infocomm Infrastructure;Others;IT Network & Infrastructure;Network Technology & Systems;Infocomm Technology
2025-01-30,NYP-ITDP04,Diploma in Infocomm & Digital Media (IT Network and System Administration)-DINSA2,(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Engineering;Others;Technology;Technology;Engineering,Converged Infocomm Infrastructure;Others;IT Network & Infrastructure;Network Technology & Systems;Infocomm Technology
2025-01-30,NYP-ITDP04,Diploma in Infocomm & Digital Media (IT Network and System Administration)-DINSA2,(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Engineering;Others;Technology;Technology;Engineering,Converged Infocomm Infrastructure;Others;IT Network & Infrastructure;Network Technology & Systems;Infocomm Technology
2025-01-30,NYP-ITDP04,Diploma in Infocomm & Digital Media (IT Network and System Administration)-DINSA2,(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Engineering;Others;Technology;Technology;Engineering,Converged Infocomm Infrastructure;Others;IT Network & Infrastructure;Network Technology & Systems;Infocomm Technology
2025-01-30,NYP-ITSP09,Specialist Diploma in Business & Big Data Analytics,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology;Technology;Technology,Artificial Intelligence;Data Analytics;Digital Literacy
2025-01-30,NYP-ITSP12,Specialist Diploma in Applied Artificial Intelligence-PCM,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology,Artificial Intelligence
2025-01-30,NYP-ITSPA1,Post-Diploma Certificate in Business Analytics (part of Specialist Diploma in Business & Big Data Analytics),(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),Technology;Technology;Technology,Data Analytics;Digital Literacy;Artificial Intelligence
2025-01-30,NYP-SI4024_037,"Sustainability Everyday: Upcycle Fabrics and Learn Mobile Photography with eCommerce Opportunities [Classroom Facilitated, Asynchronous E-Learning]",(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business;Professional Development,Retail;Critical Thinking / Problem Solving
2025-01-30,NYP-SI4024_037,"Sustainability Everyday: Upcycle Fabrics and Learn Mobile Photography with eCommerce Opportunities [Classroom Facilitated, Asynchronous E-Learning]",(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business;Professional Development,Retail;Critical Thinking / Problem Solving
2025-01-30,NYP-WSCC10_012,Fabrication of Meat and Poultry,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Food;Food;Food;Food,Career Development;Culinary & Pastry;Food & Beverage Management;Others
2025-01-30,NYP-WSCD11_005,Develop Customer Service Excellence,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Food;Food;Food;Food;Food;Food,Career Development;Culinary & Pastry;Food & Beverage Management;Food Nutrition & Sciences;Food Technology & Safety;Others
2025-01-30,NYP-WSCD11_008,Develop marketing campaigns,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Food;Food;Food;Food;Food;Food,Career Development;Culinary & Pastry;Food & Beverage Management;Food Nutrition & Sciences;Food Technology & Safety;Others
2025-01-30,NYP-WSCV01_016,Savoury Korean Delights,(CC) Certifiable Courses,(WSQMC) Workforce Skills Qualification (WSQ) Modular Course,Food;Food;Food;Food;Food,Career Development;Culinary & Pastry;Food & Beverage Management;Food Nutrition & Sciences;Others
2025-01-30,NYP-WSCY02_801,(SCTP) Certificate in Food Services (Pastry & Baking) Part-time,(CC) Certifiable Courses,(SCTP) SkillsFuture Career Transition Programme,Food;Food;Food;Food;Food;Food,Career Development;Culinary & Pastry;Food & Beverage Management;Food Nutrition & Sciences;Food Technology & Safety;Others
2025-01-29,NYP-BMDP04,Diploma in Business Practice (Customer Relationship & Service Management),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Business;Others,Customer Relationship;Others
2025-01-29,NYP-CB0408,Growing Wealth,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,Business;Business,Accounting;Banking & Finance
2025-01-29,NYP-CB1295,STARTING YOUR COFFEE BUSINESS,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Entrepreneurship
2025-01-29,NYP-CB1572,Reading Signs and Moving Minds: Personality Analysis for Innovative Negotiation and Conflict Management,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business;Business,Branding & Communications;Human Resource
2025-01-29,NYP-CB241010,Sustainability at Our Core: Essentials of Climate Risk,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Business,Others
2025-01-29,NYP-CE1239,Robotic Process Automation (RPA) for Beginners,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Engineering,Industry 4.0;Robotics And Automation
2025-01-29,NYP-CE1354,Electric Vehicle & Charging System (Classroom & Synchronous eLearning),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Engineering,Automotive Technology;Electrical & Electronic Engineering
2025-01-29,NYP-CE1354,Electric Vehicle & Charging System (Classroom & Synchronous eLearning),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Engineering,Automotive Technology;Electrical & Electronic Engineering
2025-01-29,NYP-CE1535,Build Mobile Apps with No-code Platform,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Technology,Industry 4.0;Programming & Coding
2025-01-29,NYP-CE1540,Introduction to Artificial Intelligence  and  Machine Learning (Synchronous e-Learning),(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering;Technology;Technology,Industry 4.0;Data Analytics;Artificial Intelligence
2025-01-29,NYP-CE231002,Sustainability 101 for the Green Economy,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Industry 4.0
2025-01-29,NYP-CE231002,Sustainability 101 for the Green Economy,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Industry 4.0
2025-01-29,NYP-CE241001,Microsoft Word for Workplace,(CC) Certifiable Courses,(SFS) SkillsFuture Series,Engineering,Infocomm Technology
2025-01-29,NYP-CLLP01,Work-Study Certificate (Leading to Diploma in Applied Science (Food Technology)),(WSP) Work-Study Programmes,(WSC2PTD) Work-Study Certificates Leading To Part-Time Diploma,Others;Food,Others;Food Nutrition & Sciences
2025-01-29,NYP-CLSP06,Specialist Diploma in Nutrition Science,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Food,Others;Food Nutrition & Sciences
2025-01-29,NYP-CLSP07,Specialist Diploma in Clinical Research Management,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Science,Pharmaceutical Sciences
2025-01-29,NYP-CLSP07,Specialist Diploma in Clinical Research Management,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Science,Pharmaceutical Sciences
2025-01-29,NYP-EGDP04,Diploma In Engineering (Aerospace Manufacturing),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Engineering;Others,Aeronautical & Aerospace;Others
2025-01-29,NYP-EGDP05,Diploma in Engineering (Mechatronics),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Others;Engineering,Others;Mechatronics
2025-01-29,NYP-EGDP06,Diploma in Engineering (Electronic & Digital Engineering),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Engineering,Electrical & Electronic Engineering
2025-01-29,NYP-EGSP09,Specialist Diploma in Cloud Data Centre Technology and Management,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Engineering;Technology,Others;Electrical & Electronic Engineering;Cloud Computing
2025-01-29,NYP-EGSP18,Specialist Diploma in Biomedical & Pharmaceutical Engineering,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Others;Engineering;Engineering;Engineering;Engineering;Science,Others;Biomedical Manufacturing;Precision Engineering;Regulatory Compliance;Robotics And Automation;Pharmaceutical Sciences
2025-01-29,NYP-EGSPA2,Post-Diploma Certificate in GxP of Quality Assurance & Compliance (QAC) (part of Specialist Diploma in Biomedical & Pharmaceutical Engineering),(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),Engineering;Science;Engineering;Engineering;Engineering,Biomedical Manufacturing;Pharmaceutical Sciences;Precision Engineering;Regulatory Compliance;Robotics And Automation
2025-01-29,NYP-HSAF21,Advanced Diploma in Nursing (Midwifery),(AD) Advanced Diploma,(FQ) Academic Full Qualification,Others;Public Health & Social Services,Others;Nursing
2025-01-29,NYP-HSAF43,Advanced Diploma in Nursing (Mental Health)-ADMH1,(AD) Advanced Diploma,(FQ) Academic Full Qualification,Public Health & Social Services,Nursing
2025-01-29,NYP-HSAF44,Advanced Diploma in Nursing (Midwifery)-ADMW1,(AD) Advanced Diploma,(FQ) Academic Full Qualification,Public Health & Social Services,Nursing
2025-01-29,NYP-HSCP07,CERTIFICATE IN BRIDGING STUDIES FOR ENROLLED NURSE,(CC) Certifiable Courses,(CSC) Certifiable Short Courses,Others;Public Health & Social Services,Others;Nursing
2025-01-29,NYP-HSDP01,Diploma in Health Sciences (Paramedicine),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Others;Public Health & Social Services,Others;Paramedicine
2025-01-29,NYP-HSDP01,Diploma in Health Sciences (Paramedicine),(PTD) Part-time Diploma,(FQ) Academic Full Qualification,Others;Public Health & Social Services,Others;Paramedicine
2025-01-29,NYP-ITSP11,Specialist Diploma in Agile Solutioning & DevSecOps,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology;Technology;Technology;Technology,Software Development & Quality;Network Technology & Systems;Others;Programming & Coding
2025-01-29,NYP-ITSP12,Specialist Diploma in Applied Artificial Intelligence-PCM,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology,Artificial Intelligence
2025-01-29,NYP-ITSP13,Specialist Diploma in Cybersecurity-PCM,(SD) Specialist Diploma,(FQ) Academic Full Qualification,Technology;Engineering;Technology;Technology;Technology;Technology,Cyber Security;Infocomm Technology;IT Network & Infrastructure;Mobile Computing;Network Technology & Systems;Software Development & Quality
