Application ID,Course Category,Course Type,Course Code,Course Name,Course Intake No,Course Start Date,Course End Date,Course Intake Status,School,Branch,Application Status,RegDate
NYP-ASSPA3-240004-00009,(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),NYP-ASSPA3,Post-Diploma Certificate in Energy Management for Process Industry (part of Specialist Diploma in Energy and Environmental Management for Process Industry),NYP-ASSPA3-240004,2024-12-09,2025-09-09,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-10-24
NYP-ASSPA3-240004-00010,(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),NYP-ASSPA3,Post-Diploma Certificate in Energy Management for Process Industry (part of Specialist Diploma in Energy and Environmental Management for Process Industry),NYP-ASSPA3-240004,2024-12-09,2025-09-09,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-10-25
NYP-ASSPA3-240004-00011,(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),NYP-ASSPA3,Post-Diploma Certificate in Energy Management for Process Industry (part of Specialist Diploma in Energy and Environmental Management for Process Industry),NYP-ASSPA3-240004,2024-12-09,2025-09-09,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-11-01
NYP-ASSPA3-240004-00012,(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),NYP-ASSPA3,Post-Diploma Certificate in Energy Management for Process Industry (part of Specialist Diploma in Energy and Environmental Management for Process Industry),NYP-ASSPA3-240004,2024-12-09,2025-09-09,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-11-06
NYP-ASSPA3-240004-00013,(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),NYP-ASSPA3,Post-Diploma Certificate in Energy Management for Process Industry (part of Specialist Diploma in Energy and Environmental Management for Process Industry),NYP-ASSPA3-240004,2024-12-09,2025-09-09,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-11-07
NYP-ASSPA3-240004-00014,(SD) Specialist Diploma,(PDC) Academic Certificate (PDC),NYP-ASSPA3,Post-Diploma Certificate in Energy Management for Process Industry (part of Specialist Diploma in Energy and Environmental Management for Process Industry),NYP-ASSPA3-240004,2024-12-09,2025-09-09,Commenced,SCHOOL OF APPLIED SCIENCE,Nanyang Polytechnic (Main Campus),Admitted,2024-11-11
NYP-BMDP06-240002-00065,(PTD) Part-time Diploma,(FQ) Academic Full Qualification,NYP-BMDP06,Diploma in Business Practice (Supply Chain Management),NYP-BMDP06-240002,2024-10-14,2027-04-18,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-07
NYP-BMDP06-240002-00068,(PTD) Part-time Diploma,(FQ) Academic Full Qualification,NYP-BMDP06,Diploma in Business Practice (Supply Chain Management),NYP-BMDP06-240002,2024-10-14,2027-04-18,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Cancelled,2024-10-08
NYP-BMSP15-240003-00054,(SD) Specialist Diploma,(FQ) Academic Full Qualification,NYP-BMSP15,Specialist Diploma in Supply Chain Management,NYP-BMSP15-240003,2024-10-15,2025-10-19,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-07
NYP-BMSP15-240003-00055,(SD) Specialist Diploma,(FQ) Academic Full Qualification,NYP-BMSP15,Specialist Diploma in Supply Chain Management,NYP-BMSP15-240003,2024-10-15,2025-10-19,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Cancelled,2024-10-07
NYP-BMSP15-240003-00057,(SD) Specialist Diploma,(FQ) Academic Full Qualification,NYP-BMSP15,Specialist Diploma in Supply Chain Management,NYP-BMSP15-240003,2024-10-15,2025-10-19,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Submitted,2024-10-07
NYP-CB0553-240012-00008,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-01
NYP-CB0553-240012-00009,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-01
NYP-CB0553-240012-00010,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-02
NYP-CB0553-240012-00011,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-02
NYP-CB0553-240012-00012,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Cancelled,2024-10-05
NYP-CB0553-240012-00013,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-10
NYP-CB0553-240012-00014,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-10
NYP-CB0553-240012-00015,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-10
NYP-CB0553-240012-00016,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Cancelled,2024-10-14
NYP-CB0553-240012-00017,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Cancelled,2024-10-14
NYP-CB0553-240012-00018,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Cancelled,2024-10-16
NYP-CB0553-240012-00019,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-16
NYP-CB0553-240012-00020,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Cancelled,2024-10-18
NYP-CB0553-240012-00021,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-18
NYP-CB0553-240012-00022,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Cancelled,2024-10-18
NYP-CB0553-240012-00023,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-19
NYP-CB0553-240012-00024,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240012,2024-11-04,2024-11-05,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-23
NYP-CB0553-240013-00001,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240013,2024-12-02,2024-12-03,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-08
NYP-CB0553-240013-00002,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240013,2024-12-02,2024-12-03,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-21
NYP-CB0553-240013-00003,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240013,2024-12-02,2024-12-03,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-23
NYP-CB0553-240013-00004,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240013,2024-12-02,2024-12-03,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-28
NYP-CB0553-240013-00007,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240013,2024-12-02,2024-12-03,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-29
NYP-CB0553-240013-00008,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240013,2024-12-02,2024-12-03,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-30
NYP-CB0553-240013-00009,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240013,2024-12-02,2024-12-03,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-11-04
NYP-CB0553-240013-00010,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240013,2024-12-02,2024-12-03,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-11-11
NYP-CB0553-240013-00013,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240013,2024-12-02,2024-12-03,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Cancelled,2024-11-15
NYP-CB0553-240013-00014,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240013,2024-12-02,2024-12-03,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-11-18
NYP-CB0553-240013-00016,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240013,2024-12-02,2024-12-03,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-11-18
NYP-CB0553-240013-00019,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240013,2024-12-02,2024-12-03,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-11-19
NYP-CB0553-240013-00020,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-240013,2024-12-02,2024-12-03,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-11-19
NYP-CB0553-250014-00001,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-250014,2025-01-06,2025-01-07,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Transferred,2024-11-19
NYP-CB0553-250014-00002,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-250014,2025-01-06,2025-01-07,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Transferred,2024-11-19
NYP-CB0553-250014-00003,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-250014,2025-01-06,2025-01-07,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-11-27
NYP-CB0553-250014-00005,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-250014,2025-01-06,2025-01-07,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-12-09
NYP-CB0553-250014-00006,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-250014,2025-01-06,2025-01-07,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-12-06
NYP-CB0553-250014-00007,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-250014,2025-01-06,2025-01-07,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-12-11
NYP-CB0553-250014-00008,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-250014,2025-01-06,2025-01-07,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-12-10
NYP-CB0553-250014-00009,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-250014,2025-01-06,2025-01-07,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-12-10
NYP-CB0553-250014-00010,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-250014,2025-01-06,2025-01-07,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-12-16
NYP-CB0553-250014-00011,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-250014,2025-01-06,2025-01-07,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-12-17
NYP-CB0553-250014-00012,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-250014,2025-01-06,2025-01-07,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-12-19
NYP-CB0553-250014-00013,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0553,SC101 CUSTOMS PROCEDURES,NYP-CB0553-250014,2025-01-06,2025-01-07,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Cancelled,2024-12-21
NYP-CB0554-240013-00001,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240013,2024-11-06,2024-11-06,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-02
NYP-CB0554-240013-00002,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240013,2024-11-06,2024-11-06,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-02
NYP-CB0554-240013-00003,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240013,2024-11-06,2024-11-06,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-10
NYP-CB0554-240013-00004,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240013,2024-11-06,2024-11-06,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-11
NYP-CB0554-240013-00005,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240013,2024-11-06,2024-11-06,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Cancelled,2024-10-16
NYP-CB0554-240013-00006,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240013,2024-11-06,2024-11-06,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-16
NYP-CB0554-240014-00001,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240014,2024-12-04,2024-12-04,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-25
NYP-CB0554-240014-00002,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240014,2024-12-04,2024-12-04,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-25
NYP-CB0554-240014-00004,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240014,2024-12-04,2024-12-04,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-10-25
NYP-CB0554-240014-00005,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240014,2024-12-04,2024-12-04,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Cancelled,2024-10-29
NYP-CB0554-240014-00006,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240014,2024-12-04,2024-12-04,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-11-04
NYP-CB0554-240014-00007,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240014,2024-12-04,2024-12-04,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-11-07
NYP-CB0554-240014-00008,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240014,2024-12-04,2024-12-04,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-11-11
NYP-CB0554-240014-00009,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240014,2024-12-04,2024-12-04,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-11-19
NYP-CB0554-240014-00010,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240014,2024-12-04,2024-12-04,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-11-19
NYP-CB0554-240014-00011,(NCC) Non-Certifiable Courses,(NCSC) Non-Certifiable Short Courses,NYP-CB0554,SC102 CLASSIFICATION AND THE HARMONISED SYSTEM,NYP-CB0554-240014,2024-12-04,2024-12-04,Commenced,SCHOOL OF BUSINESS MANAGEMENT,Nanyang Polytechnic (Main Campus),Admitted,2024-11-27
