Date,Page path and screen class,Campaign Name for UTM,Views,Total users,Sessions,Average session duration
9/8/2024,/adult-learner/find-a-course,sit-cet-b2b-q1,867,663,770,178.1
3/23/2024,/adult-learner/find-a-course,(not set),241,180,212,231.38
9/28/2024,/adult-learner/short-courses,shss-pet-q2,566,459,499,255.52
7/16/2024,/admissions,sit-cet-b2b-q4,138,108,122,196.79
12/9/2024,/adult-learner/find-a-course,sbm-pet-q2,464,399,401,209.98
3/24/2024,/about-nyp,sit-pet-q4,874,720,729,88.99
10/24/2024,/adult-learner/find-a-course,(direct),290,191,217,375.5
1/30/2024,/adult-learner/find-a-course,shss-pet-q2,411,330,343,62.62
11/21/2024,/contact-us,(referral),735,595,612,136.18
10/26/2024,/about-nyp,sit-cet-b2b-q4,552,376,426,35.13
9/26/2024,/contact-us,sit-cet-b2b-q4,857,716,722,353.71
11/16/2024,/adult-learner/short-courses,(direct),994,665,792,358.17
1/15/2024,/courses/data-science,(referral),677,505,530,202.77
11/7/2024,/courses/data-science,nace-cet-b2b-q4,263,151,184,90.14
1/11/2024,/adult-learner/short-courses,(not set),400,326,371,383.51
12/14/2024,/adult-learner/short-courses,(not set),243,189,229,149.5
11/28/2024,/courses/data-science,sbm-pet-q2,358,279,301,80.62
9/11/2024,/about-nyp,sit-pet-q4,308,183,218,264.39
6/1/2024,/admissions,shss-pet-q2,374,333,345,315.55
8/1/2024,/adult-learner/course-types/part-time-diplomas,aci-pet-q3,127,79,91,86.43
8/2/2024,/adult-learner/find-a-course,(direct),833,562,620,340.01
2/6/2024,/contact-us,(direct),959,669,678,356.18
3/26/2024,/admissions,sbm-pet-q2,191,127,139,141.56
7/14/2024,/adult-learner/course-types/part-time-diplomas,sit-pet-q4,269,208,252,380.04
2/23/2024,/contact-us,(not set),330,218,270,363.15
6/11/2024,/about-nyp,nace-cet-b2b-q4,121,92,112,292.05
4/18/2024,/admissions,(not set),356,313,320,278.77
7/25/2024,/adult-learner/short-courses,sbm-pet-q2,517,470,472,281.41
10/29/2024,/contact-us,nace-cet-b2b-q4,963,691,749,100.19
8/12/2024,/contact-us,(organic),811,599,644,327.57
3/25/2024,/about-nyp,(referral),898,554,629,76.12
9/28/2024,/contact-us,shss-cet-b2b-q4,87,50,60,313.4
2/26/2024,/about-nyp,nace-cet-b2c-q1,729,612,623,305.29
11/29/2024,/courses/data-science,sit-pet-q4,533,371,378,57.3
11/5/2024,/courses/data-science,nace-pet-q1,93,63,66,233.02
8/2/2024,/about-nyp,shss-pet-q2,769,614,694,271.92
7/1/2024,/about-nyp,nace-cet-b2c-q1,632,490,530,39.96
6/15/2024,/contact-us,sit-cet-b2b-q1,124,95,108,327.52
3/9/2024,/admissions,nace-cet-b2b-q4,952,707,853,166.43
5/3/2024,/adult-learner/short-courses,nace-cet-b2b-q4,236,172,215,385.63
12/26/2024,/contact-us,sit-cet-b2b-q4,711,503,577,203.86
7/23/2024,/admissions,(organic),354,279,313,234.23
5/3/2024,/admissions,sbm-pet-q2,738,486,603,42.5
11/6/2024,/about-nyp,nace-cet-b2b-q4,657,475,563,259.81
3/25/2024,/adult-learner/course-types/part-time-diplomas,nace-cet-b2c-q1,341,265,278,230.6
7/21/2024,/courses/data-science,sit-pet-q4,631,417,459,47.17
11/3/2024,/courses/data-science,sit-cet-b2b-q1,835,699,738,322.7
11/17/2024,/adult-learner/find-a-course,sit-cet-b2b-q4,935,748,774,379.8
7/4/2024,/adult-learner/short-courses,nace-cet-b2c-q1,988,806,824,337.99
9/17/2024,/contact-us,(referral),423,328,398,266.85
10/27/2024,/about-nyp,sit-cet-b2b-q1,585,424,524,62.69
1/30/2024,/courses/data-science,shss-pet-q2,416,286,351,186.25
7/2/2024,/admissions,(organic),881,613,618,386.33
6/1/2024,/courses/data-science,(not set),671,484,532,37.24
7/11/2024,/adult-learner/find-a-course,(referral),789,669,693,39.05
11/22/2024,/adult-learner/find-a-course,nace-cet-b2b-q4,381,315,316,386.85
5/6/2024,/contact-us,sit-cet-b2b-q4,346,275,278,41.72
3/10/2024,/adult-learner/find-a-course,(not set),146,108,131,112.52
6/3/2024,/adult-learner/find-a-course,shss-pet-q2,729,613,614,237.93
10/1/2024,/adult-learner/course-types/part-time-diplomas,shss-cet-b2b-q4,505,433,440,269.44
7/1/2024,/contact-us,(referral),287,205,214,290.38
5/24/2024,/about-nyp,(referral),156,127,141,33.82
7/10/2024,/contact-us,shss-cet-b2b-q4,224,164,168,372.32
8/24/2024,/about-nyp,(organic),812,546,585,158.81
8/31/2024,/courses/data-science,sit-pet-q4,735,536,658,220.46
6/29/2024,/courses/data-science,aci-pet-q3,713,622,656,222.67
7/23/2024,/about-nyp,sbm-pet-q2,539,425,445,37.36
5/26/2024,/courses/data-science,nace-cet-b2c-q1,354,229,282,378.21
8/24/2024,/courses/data-science,(not set),584,375,423,96.28
1/28/2024,/contact-us,(direct),23,15,19,130.79
9/6/2024,/adult-learner/course-types/part-time-diplomas,(organic),277,242,256,346.45
10/7/2024,/adult-learner/course-types/part-time-diplomas,(direct),623,511,549,359.19
12/29/2024,/contact-us,sbm-pet-q2,478,363,443,305.09
6/3/2024,/admissions,(organic),84,47,59,357.6
4/21/2024,/courses/data-science,nace-pet-q1,980,728,859,73.58
5/22/2024,/admissions,sit-cet-b2b-q4,916,673,702,224.04
7/5/2024,/adult-learner/short-courses,sit-cet-b2b-q1,463,357,358,187.17
3/8/2024,/admissions,sbm-pet-q2,690,476,541,370.28
6/28/2024,/courses/data-science,aci-pet-q3,313,272,273,354.98
9/10/2024,/courses/data-science,shss-cet-b2b-q4,193,137,171,271.13
3/31/2024,/contact-us,(referral),449,352,379,125.86
10/3/2024,/adult-learner/short-courses,(direct),191,132,162,186.63
6/4/2024,/adult-learner/course-types/part-time-diplomas,sit-cet-b2b-q1,858,599,676,165.11
8/22/2024,/adult-learner/find-a-course,nace-cet-b2b-q4,865,605,719,44.14
6/29/2024,/courses/data-science,nace-cet-b2b-q4,415,311,321,136.2
10/12/2024,/adult-learner/course-types/part-time-diplomas,shss-pet-q2,926,623,721,183.22
10/7/2024,/about-nyp,(organic),702,642,648,136.39
2/15/2024,/contact-us,sit-cet-b2b-q4,792,488,562,326.71
4/4/2024,/adult-learner/find-a-course,(organic),959,838,842,171.77
12/25/2024,/adult-learner/course-types/part-time-diplomas,shss-cet-b2b-q4,235,160,198,375.1
11/25/2024,/courses/data-science,nace-cet-b2c-q1,851,508,626,237.45
3/1/2024,/adult-learner/find-a-course,aci-pet-q3,49,34,38,156.52
12/18/2024,/admissions,(referral),632,488,499,69.87
11/2/2024,/admissions,(not set),266,251,252,336.04
4/25/2024,/adult-learner/course-types/part-time-diplomas,(organic),350,267,323,54.57
5/22/2024,/adult-learner/find-a-course,nace-pet-q1,835,635,742,190.4
11/16/2024,/courses/data-science,(referral),867,688,818,347.58
8/27/2024,/about-nyp,(referral),227,157,166,74.77
10/23/2024,/adult-learner/short-courses,shss-pet-q2,947,813,831,148.86
6/1/2024,/adult-learner/find-a-course,sit-pet-q4,377,248,301,268.77
7/31/2024,/adult-learner/find-a-course,(direct),933,626,702,179.51
2/10/2024,/contact-us,(referral),158,135,139,196.26
5/5/2024,/adult-learner/find-a-course,(direct),728,516,621,131.71
9/28/2024,/adult-learner/find-a-course,(direct),263,175,217,205.97
12/3/2024,/contact-us,(organic),409,281,289,157.47
10/24/2024,/adult-learner/find-a-course,shss-cet-b2b-q4,972,702,717,322.53
12/22/2024,/adult-learner/course-types/part-time-diplomas,sbm-pet-q2,262,219,226,273.69
8/11/2024,/admissions,(organic),118,86,90,224.87
3/17/2024,/contact-us,nace-cet-b2c-q1,246,171,195,237.69
6/17/2024,/admissions,sbm-pet-q2,823,564,651,183.34
10/30/2024,/adult-learner/course-types/part-time-diplomas,sbm-pet-q2,928,651,805,89.46
9/15/2024,/about-nyp,sit-pet-q4,542,441,489,113.14
6/5/2024,/adult-learner/short-courses,nace-pet-q1,665,459,517,268.09
1/9/2024,/adult-learner/short-courses,sit-cet-b2b-q1,97,62,78,177.37
12/26/2024,/about-nyp,sbm-pet-q2,256,195,212,41.88
3/28/2024,/about-nyp,sit-cet-b2b-q1,685,533,641,315.48
3/24/2024,/adult-learner/short-courses,sbm-pet-q2,365,279,321,314.21
11/6/2024,/adult-learner/find-a-course,sit-cet-b2b-q4,396,349,371,371.17
12/27/2024,/adult-learner/find-a-course,(organic),475,408,414,177.17
3/21/2024,/adult-learner/find-a-course,aci-pet-q3,836,694,787,369.18
4/19/2024,/adult-learner/short-courses,sit-cet-b2b-q4,159,106,128,127
12/18/2024,/adult-learner/short-courses,sit-pet-q4,431,351,392,104.62
7/13/2024,/adult-learner/course-types/part-time-diplomas,shss-cet-b2b-q4,122,76,93,142.32
3/3/2024,/adult-learner/short-courses,sit-pet-q4,978,823,859,360.21
11/6/2024,/admissions,nace-cet-b2c-q1,478,300,369,104.81
9/25/2024,/admissions,(referral),883,633,666,98.16
6/23/2024,/admissions,nace-pet-q1,265,178,186,40.78
6/20/2024,/adult-learner/find-a-course,nace-cet-b2b-q4,288,224,268,227.55
9/13/2024,/adult-learner/short-courses,(not set),940,739,745,143.15
5/27/2024,/adult-learner/find-a-course,sit-cet-b2b-q4,117,103,106,178.06
5/18/2024,/admissions,(referral),825,511,628,228.68
8/26/2024,/admissions,(not set),755,461,568,52.19
8/11/2024,/adult-learner/short-courses,nace-cet-b2b-q4,662,624,627,386.58
1/13/2024,/contact-us,nace-cet-b2b-q4,446,285,332,56.44
11/24/2024,/contact-us,sit-pet-q4,119,76,85,65.71
12/30/2024,/contact-us,(not set),649,414,459,364.26
1/4/2024,/admissions,aci-pet-q3,821,573,623,333.55
10/2/2024,/adult-learner/short-courses,sit-cet-b2b-q1,797,558,663,119.2
6/11/2024,/contact-us,sbm-pet-q2,594,364,440,374.32
4/27/2024,/adult-learner/short-courses,shss-pet-q2,959,754,802,68.08
5/20/2024,/about-nyp,sit-pet-q4,392,251,310,215.48
10/2/2024,/adult-learner/short-courses,(direct),251,171,204,336.63
5/2/2024,/courses/data-science,aci-pet-q3,690,459,487,334.95
8/20/2024,/about-nyp,sit-cet-b2b-q4,130,96,98,313.71
4/14/2024,/courses/data-science,nace-cet-b2b-q4,613,490,503,205.01
1/2/2024,/adult-learner/find-a-course,(organic),312,193,239,363.71
1/12/2024,/adult-learner/find-a-course,shss-pet-q2,155,126,145,165.6
4/29/2024,/contact-us,nace-cet-b2b-q4,820,646,776,386.43
7/19/2024,/adult-learner/course-types/part-time-diplomas,shss-pet-q2,496,342,395,275.21
1/5/2024,/admissions,sit-cet-b2b-q1,815,534,606,118.34
6/6/2024,/contact-us,sit-pet-q4,457,298,350,203.22
9/16/2024,/adult-learner/course-types/part-time-diplomas,nace-cet-b2b-q4,693,555,643,360.86
5/17/2024,/admissions,sit-cet-b2b-q1,928,624,681,351.28
1/10/2024,/admissions,sit-cet-b2b-q4,369,263,325,335.45
2/22/2024,/adult-learner/find-a-course,sit-pet-q4,221,178,190,308.01
8/8/2024,/admissions,(referral),51,37,40,222.96
2/21/2024,/about-nyp,shss-pet-q2,790,516,617,139.65
7/28/2024,/admissions,(referral),174,124,155,209.28
8/22/2024,/adult-learner/short-courses,(referral),595,481,522,68.6
12/11/2024,/adult-learner/find-a-course,nace-cet-b2c-q1,132,109,115,254.77
4/1/2024,/courses/data-science,(direct),730,615,639,200.14
6/11/2024,/adult-learner/course-types/part-time-diplomas,nace-cet-b2c-q1,426,315,387,304.69
12/25/2024,/adult-learner/course-types/part-time-diplomas,shss-cet-b2b-q4,48,40,41,108.52
4/10/2024,/about-nyp,aci-pet-q3,457,338,400,338.94
8/30/2024,/adult-learner/short-courses,nace-pet-q1,141,103,113,50.42
1/25/2024,/adult-learner/find-a-course,aci-pet-q3,775,531,651,88.6
11/27/2024,/adult-learner/short-courses,sbm-pet-q2,168,130,158,214.32
1/16/2024,/courses/data-science,sit-cet-b2b-q4,914,683,719,191.07
8/29/2024,/admissions,(direct),593,359,417,281.86
6/29/2024,/contact-us,sit-cet-b2b-q1,861,626,630,88.74
10/8/2024,/adult-learner/course-types/part-time-diplomas,sit-cet-b2b-q1,246,186,214,350.51
12/21/2024,/adult-learner/find-a-course,sbm-pet-q2,947,762,874,123.59
10/29/2024,/adult-learner/find-a-course,(direct),668,401,497,30.41
11/19/2024,/contact-us,sbm-pet-q2,532,400,492,329.47
2/9/2024,/adult-learner/course-types/part-time-diplomas,aci-pet-q3,686,493,589,246.59
11/20/2024,/admissions,sit-cet-b2b-q4,492,412,441,269.83
12/5/2024,/adult-learner/find-a-course,aci-pet-q3,160,128,135,376.54
9/2/2024,/adult-learner/short-courses,(referral),220,171,198,79.38
1/1/2024,/adult-learner/short-courses,aci-pet-q3,155,91,112,111.71
1/30/2024,/courses/data-science,nace-cet-b2b-q4,638,383,478,296.36
1/29/2024,/adult-learner/course-types/part-time-diplomas,(referral),130,81,94,138.61
5/2/2024,/adult-learner/short-courses,nace-cet-b2c-q1,828,661,758,94.75
3/12/2024,/adult-learner/find-a-course,(direct),971,645,696,373.9
3/29/2024,/courses/data-science,(referral),402,264,292,259.19
6/21/2024,/adult-learner/find-a-course,sbm-pet-q2,288,240,272,266.32
8/23/2024,/adult-learner/find-a-course,shss-pet-q2,17,10,12,181.98
9/7/2024,/adult-learner/course-types/part-time-diplomas,sit-pet-q4,57,44,51,299.31
10/31/2024,/adult-learner/course-types/part-time-diplomas,sit-cet-b2b-q4,170,130,144,61.01
12/29/2024,/about-nyp,shss-pet-q2,176,112,137,234.65
4/7/2024,/contact-us,nace-pet-q1,183,149,162,323.57
1/9/2024,/courses/data-science,(not set),252,174,203,334.89
8/13/2024,/adult-learner/course-types/part-time-diplomas,(direct),577,431,493,181.48
4/8/2024,/adult-learner/find-a-course,nace-pet-q1,223,170,189,52.46
7/4/2024,/adult-learner/course-types/part-time-diplomas,sit-cet-b2b-q4,667,473,560,191.41
9/19/2024,/adult-learner/course-types/part-time-diplomas,nace-pet-q1,414,314,356,233.31
6/11/2024,/adult-learner/short-courses,aci-pet-q3,354,235,268,213.99
6/5/2024,/adult-learner/find-a-course,sit-cet-b2b-q1,561,403,472,84.65
7/19/2024,/adult-learner/find-a-course,aci-pet-q3,234,153,164,149.07
8/26/2024,/admissions,(referral),772,669,732,61.76
4/7/2024,/admissions,sit-cet-b2b-q4,41,33,38,309.63
9/19/2024,/contact-us,shss-pet-q2,321,223,237,260.19
10/10/2024,/about-nyp,aci-pet-q3,993,698,723,148.79
9/9/2024,/adult-learner/course-types/part-time-diplomas,nace-pet-q1,212,133,151,31.28
10/25/2024,/courses/data-science,shss-cet-b2b-q4,763,623,712,141.52
2/11/2024,/contact-us,nace-cet-b2c-q1,84,60,69,346.35
12/27/2024,/courses/data-science,sit-cet-b2b-q4,893,702,761,349.85
3/6/2024,/admissions,nace-pet-q1,496,376,424,277.19
1/7/2024,/adult-learner/short-courses,shss-cet-b2b-q4,676,614,628,369.47
6/16/2024,/adult-learner/short-courses,shss-cet-b2b-q4,310,255,269,63.67
9/25/2024,/admissions,shss-cet-b2b-q4,811,585,625,187.06
8/21/2024,/about-nyp,sit-cet-b2b-q4,545,442,443,113.89
3/1/2024,/admissions,sit-cet-b2b-q4,184,134,137,136.2
7/26/2024,/adult-learner/short-courses,(referral),570,376,420,253.04
9/3/2024,/adult-learner/find-a-course,sbm-pet-q2,104,70,78,157.11
4/17/2024,/about-nyp,shss-pet-q2,684,618,626,48.45
11/27/2024,/admissions,(referral),489,371,386,204.65
1/24/2024,/contact-us,sbm-pet-q2,502,350,412,194.32
1/14/2024,/admissions,(direct),669,488,573,396.22
5/26/2024,/courses/data-science,(direct),967,656,747,47.7
9/29/2024,/admissions,sit-cet-b2b-q4,274,227,239,369.97
3/13/2024,/about-nyp,(direct),398,325,358,353.56
6/28/2024,/admissions,(referral),460,279,323,216.8
3/30/2024,/adult-learner/course-types/part-time-diplomas,sit-pet-q4,961,677,831,144.56
4/7/2024,/adult-learner/short-courses,(organic),145,109,131,265.5
9/13/2024,/courses/data-science,sit-cet-b2b-q4,796,641,668,151.84
10/18/2024,/adult-learner/course-types/part-time-diplomas,(direct),395,301,371,123.42
9/7/2024,/admissions,shss-cet-b2b-q4,318,186,225,355.54
2/7/2024,/adult-learner/course-types/part-time-diplomas,sit-cet-b2b-q4,886,625,638,159.45
9/16/2024,/adult-learner/short-courses,shss-cet-b2b-q4,931,681,848,354.69
8/28/2024,/adult-learner/find-a-course,sbm-pet-q2,33,26,29,174.69
6/19/2024,/adult-learner/course-types/part-time-diplomas,nace-cet-b2c-q1,729,476,541,201.94
4/28/2024,/adult-learner/find-a-course,nace-pet-q1,917,718,788,232.61
2/6/2024,/adult-learner/short-courses,(not set),407,329,371,76.98
11/24/2024,/adult-learner/short-courses,(organic),799,478,578,102.24
9/22/2024,/admissions,sit-cet-b2b-q1,383,271,306,45.22
3/5/2024,/contact-us,(direct),388,264,288,30.3
12/23/2024,/adult-learner/find-a-course,sit-pet-q4,672,483,491,131.68
1/18/2024,/admissions,(organic),826,744,773,60.46
5/20/2024,/adult-learner/find-a-course,shss-pet-q2,697,555,563,124.32
1/12/2024,/courses/data-science,(referral),661,603,619,138.78
1/2/2024,/adult-learner/short-courses,shss-pet-q2,516,315,386,199.28
3/7/2024,/contact-us,aci-pet-q3,501,313,373,197.98
10/28/2024,/about-nyp,shss-cet-b2b-q4,177,110,127,363.03
9/20/2024,/adult-learner/short-courses,shss-pet-q2,135,83,95,105.72
4/22/2024,/adult-learner/short-courses,(referral),974,747,862,381.67
2/24/2024,/adult-learner/short-courses,(direct),331,232,237,352.83
3/15/2024,/courses/data-science,(referral),427,349,377,137.75
11/23/2024,/adult-learner/find-a-course,aci-pet-q3,950,849,852,142.05
3/19/2024,/adult-learner/course-types/part-time-diplomas,sbm-pet-q2,751,656,659,295.96
9/6/2024,/adult-learner/find-a-course,sbm-pet-q2,771,508,630,321.26
9/1/2024,/courses/data-science,shss-pet-q2,983,635,789,324.24
10/11/2024,/about-nyp,nace-pet-q1,947,804,809,63.02
8/30/2024,/adult-learner/course-types/part-time-diplomas,(direct),968,717,800,75.42
1/17/2024,/admissions,(direct),205,146,153,298.72
7/19/2024,/adult-learner/course-types/part-time-diplomas,(organic),891,574,703,210.29
4/30/2024,/adult-learner/find-a-course,shss-pet-q2,275,206,229,378.25
4/21/2024,/adult-learner/short-courses,(referral),847,659,787,132.84
5/27/2024,/about-nyp,sbm-pet-q2,773,494,559,136.39
2/14/2024,/admissions,(direct),834,706,762,354.07
6/24/2024,/courses/data-science,(organic),197,146,177,222.57
11/4/2024,/adult-learner/course-types/part-time-diplomas,sit-cet-b2b-q1,859,659,675,201.05
4/17/2024,/adult-learner/find-a-course,sit-pet-q4,145,90,110,138.98
3/21/2024,/contact-us,sit-cet-b2b-q4,868,704,734,245.28
3/7/2024,/courses/data-science,nace-pet-q1,224,153,179,367.07
9/15/2024,/adult-learner/short-courses,(direct),342,264,279,152.29
1/9/2024,/admissions,shss-pet-q2,727,510,593,269.83
1/9/2024,/adult-learner/short-courses,(direct),954,601,685,367.2
5/24/2024,/adult-learner/course-types/part-time-diplomas,(organic),48,42,43,331.93
8/7/2024,/courses/data-science,shss-cet-b2b-q4,314,210,254,77.33
8/31/2024,/adult-learner/course-types/part-time-diplomas,sit-cet-b2b-q1,682,435,528,204.87
3/6/2024,/about-nyp,nace-pet-q1,758,554,685,271.47
5/14/2024,/about-nyp,nace-cet-b2b-q4,995,783,895,297.73
5/21/2024,/adult-learner/short-courses,(direct),790,633,662,153.38
10/28/2024,/contact-us,nace-cet-b2b-q4,929,677,711,375.97
3/21/2024,/adult-learner/course-types/part-time-diplomas,shss-pet-q2,893,738,778,215.46
5/10/2024,/courses/data-science,nace-cet-b2b-q4,739,559,618,164.11
7/4/2024,/admissions,sit-cet-b2b-q4,191,136,151,373.19
3/9/2024,/admissions,sbm-pet-q2,333,267,300,200.43
9/12/2024,/adult-learner/short-courses,aci-pet-q3,251,217,231,361.78
3/3/2024,/adult-learner/short-courses,sbm-pet-q2,906,707,851,240.56
4/19/2024,/adult-learner/short-courses,nace-pet-q1,485,342,423,252.3
9/3/2024,/about-nyp,(direct),402,234,283,111.29
10/19/2024,/courses/data-science,nace-cet-b2b-q4,14,10,11,213.34
10/12/2024,/admissions,nace-cet-b2c-q1,812,567,665,273.39
11/25/2024,/adult-learner/find-a-course,(organic),517,321,397,365.77
4/6/2024,/courses/data-science,sit-cet-b2b-q1,147,115,121,35.68
7/28/2024,/courses/data-science,sit-cet-b2b-q1,35,30,32,344.83
5/10/2024,/adult-learner/short-courses,sit-pet-q4,762,691,710,218.23
11/8/2024,/contact-us,shss-pet-q2,404,287,311,199.86
3/30/2024,/courses/data-science,shss-cet-b2b-q4,771,627,634,30.53
1/15/2024,/adult-learner/course-types/part-time-diplomas,nace-cet-b2c-q1,855,579,622,115.09
2/9/2024,/adult-learner/short-courses,sbm-pet-q2,566,406,419,229.32
3/28/2024,/adult-learner/course-types/part-time-diplomas,sit-cet-b2b-q1,750,664,666,271.11
6/23/2024,/about-nyp,shss-cet-b2b-q4,866,700,742,56.31
7/15/2024,/admissions,sit-cet-b2b-q4,809,472,582,217.69
2/26/2024,/adult-learner/find-a-course,shss-cet-b2b-q4,866,668,693,122.23
8/20/2024,/adult-learner/find-a-course,sbm-pet-q2,552,383,404,106.18
11/23/2024,/adult-learner/find-a-course,sit-cet-b2b-q4,375,287,333,44.66
3/24/2024,/about-nyp,(not set),114,83,102,153.57
4/21/2024,/admissions,(not set),744,608,678,357.27
8/18/2024,/contact-us,(direct),284,176,202,329.74
10/3/2024,/admissions,sit-cet-b2b-q1,383,304,341,35.87
6/21/2024,/courses/data-science,sit-cet-b2b-q4,338,258,319,40.71
8/2/2024,/adult-learner/course-types/part-time-diplomas,shss-pet-q2,536,406,435,227.32
7/22/2024,/adult-learner/course-types/part-time-diplomas,(direct),152,117,143,45.94
7/20/2024,/admissions,(organic),143,104,109,107.88
1/6/2024,/about-nyp,sbm-pet-q2,647,506,528,305
3/2/2024,/courses/data-science,shss-pet-q2,248,208,220,160.61
4/16/2024,/admissions,(referral),830,618,749,104.83
10/10/2024,/admissions,aci-pet-q3,892,514,636,109.77
8/22/2024,/adult-learner/short-courses,nace-cet-b2c-q1,799,523,628,109.64
11/7/2024,/admissions,sit-pet-q4,884,711,715,179.95
11/30/2024,/contact-us,(organic),28,17,20,57.23
11/8/2024,/about-nyp,sbm-pet-q2,321,276,303,252.88
4/4/2024,/courses/data-science,(referral),17,11,12,220.8
8/30/2024,/adult-learner/find-a-course,nace-pet-q1,768,616,709,241.54
5/23/2024,/adult-learner/short-courses,(not set),973,581,699,227.93
12/15/2024,/contact-us,(not set),37,26,33,358.52
10/23/2024,/adult-learner/short-courses,nace-cet-b2c-q1,916,767,774,271.43
12/11/2024,/adult-learner/course-types/part-time-diplomas,sit-cet-b2b-q4,85,48,59,275.79
4/30/2024,/adult-learner/course-types/part-time-diplomas,shss-pet-q2,22,17,18,267.65
4/29/2024,/about-nyp,(referral),995,850,889,283.43
1/10/2024,/about-nyp,nace-cet-b2c-q1,362,284,300,323.26
10/17/2024,/courses/data-science,(referral),510,308,358,225.06
7/5/2024,/admissions,(organic),539,436,507,304.7
11/28/2024,/adult-learner/course-types/part-time-diplomas,nace-cet-b2c-q1,789,594,625,57.16
12/8/2024,/courses/data-science,(organic),912,563,655,193.9
2/9/2024,/contact-us,sit-pet-q4,904,635,782,318.56
3/18/2024,/admissions,(direct),507,333,373,74.14
9/14/2024,/adult-learner/course-types/part-time-diplomas,(not set),505,412,431,376.86
12/13/2024,/adult-learner/find-a-course,shss-pet-q2,276,181,194,114.62
1/6/2024,/courses/data-science,sit-cet-b2b-q1,307,232,235,269.92
2/28/2024,/contact-us,sit-cet-b2b-q1,395,296,323,32.91
4/17/2024,/adult-learner/short-courses,nace-cet-b2b-q4,318,224,269,101.75
7/28/2024,/adult-learner/course-types/part-time-diplomas,nace-cet-b2c-q1,45,37,41,81.8
5/4/2024,/adult-learner/short-courses,nace-cet-b2b-q4,653,456,474,221.53
12/25/2024,/contact-us,(direct),183,137,158,182.04
4/14/2024,/about-nyp,(direct),419,323,387,359.54
2/29/2024,/courses/data-science,shss-cet-b2b-q4,491,373,390,387.4
6/16/2024,/adult-learner/course-types/part-time-diplomas,sit-cet-b2b-q4,277,216,235,192.16
6/11/2024,/adult-learner/find-a-course,(not set),516,416,446,128.09
2/5/2024,/admissions,(direct),625,404,499,100.74
6/5/2024,/adult-learner/find-a-course,(direct),522,375,381,81.2
6/16/2024,/adult-learner/course-types/part-time-diplomas,sit-pet-q4,516,358,439,182.27
12/6/2024,/admissions,sit-pet-q4,624,553,581,366.68
