Dept/Sch/Institute,Campaign ID,Campaign Name,Campaign Name for UTM,Campaign Type,Campaign Objective,Start Date,End Date,Marketing Channel,Marketing Platform,Remarks,Agency Rate,Media Cost,Production Cost,Calculated Agency Fee,Total Campaign Spend
C&O,NYP2025-001,CET B2C Campaign - Q1 2025,cet-q1-2025,CET - B2C,Conversion,28-02-25 0:00,21-03-25 0:00,Digital Ads,LinkedIn,,0.07,3999.96,0,279.9972,4279.9572
C&O,NYP2025-001,CET B2C Campaign - Q1 2025,cet-q1-2025,CET - B2C,Conversion,29-01-25 0:00,21-03-25 0:00,Digital Ads,Google Search,,0.07,25684.2,0,1797.894,27482.094
SAS,NYPSAS2025-001,SAS B2C Campaign - Q1 2025,sas-cet-b2c-q1-2025,CET - B2C,Awareness,10-01-25 0:00,20-03-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,8000,0,800,8800
SAS,NYPSAS2025-001,SAS B2C Campaign - Q1 2025,sas-cet-b2c-q1-2025,CET - B2C,Awareness,10-01-25 0:00,20-03-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,8000,0,800,8800
SAS,NYPSAS2025-001,SAS B2C Campaign - Q1 2025,sas-cet-b2c-q1-2025,CET - B2C,Awareness,10-01-25 0:00,20-03-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,8000,0,800,8800
SAS,NYPSAS2025-002,SAS B2C Campaign - Q3 2025,sas-cet-b2c-q3-2025,CET - B2C,Conversion,01-07-25 0:00,28-09-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,8000,0,800,8800
SAS,NYPSAS2025-002,SAS B2C Campaign - Q3 2025,sas-cet-b2c-q3-2025,CET - B2C,Conversion,01-07-25 0:00,28-09-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,8000,0,800,8800
SAS,NYPSAS2025-002,SAS B2C Campaign - Q3 2025,sas-cet-b2c-q3-2025,CET - B2C,Conversion,01-07-25 0:00,28-09-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,8000,0,800,8800
SAS,NYPSAS2025-002,SAS B2C Campaign - Q3 2025,sas-cet-b2c-q3-2025,CET - B2C,Conversion,01-07-25 0:00,28-09-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,8000,0,800,8800
SBM,NYPSBM2025-001,SBM B2C Campaign - Q1 2025,sbm-2025S1-acet,CET - B2C,Conversion,10-01-25 0:00,20-03-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,15000,0,1500,16500
SBM,NYPSBM2025-001,SBM B2C Campaign - Q1 2025,sbm-2025S1-acet,CET - B2C,Conversion,10-01-25 0:00,20-03-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,15000,0,1500,16500
SBM,NYPSBM2025-001,SBM B2C Campaign - Q1 2025,sbm-2025S1-acet,CET - B2C,Conversion,10-01-25 0:00,20-03-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,15000,0,1500,16500
SDM,NYPSDM2025-001,SDM B2B Campaign - Q1 2025,sdm-cet-b2b-q1-2025,CET - B2B,Conversion,05-01-25 0:00,25-03-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,10000,0,1000,11000
SDM,NYPSDM2025-001,SDM B2B Campaign - Q1 2025,sdm-cet-b2b-q1-2025,CET - B2B,Conversion,05-01-25 0:00,25-03-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,10000,0,1000,11000
SDM,NYPSDM2025-001,SDM B2B Campaign - Q1 2025,sdm-cet-b2b-q1-2025,CET - B2B,Conversion,05-01-25 0:00,25-03-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,10000,0,1000,11000
SEG,NYPSEG2025-001,SEG B2B Campaign - Q2 2025,seg-cet-b2b-q2-2025,CET - B2B,Conversion,15-04-25 0:00,30-06-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,16000,0,1600,17600
SEG,NYPSEG2025-001,SEG B2B Campaign - Q2 2025,seg-cet-b2b-q2-2025,CET - B2B,Conversion,15-04-25 0:00,30-06-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,16000,0,1600,17600
SEG,NYPSEG2025-001,SEG B2B Campaign - Q2 2025,seg-cet-b2b-q2-2025,CET - B2B,Conversion,15-04-25 0:00,30-06-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,16000,0,1600,17600
SEG,NYPSEG2025-001,SEG B2B Campaign - Q2 2025,seg-cet-b2b-q2-2025,CET - B2B,Conversion,15-04-25 0:00,30-06-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,16000,0,1600,17600
SEG,NYPSEG2025-002,SEG B2C Campaign - Q3 2025,seg-cet-b2c-q3-2025,CET - B2C,Conversion,01-08-25 0:00,30-09-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,8000,0,800,8800
SEG,NYPSEG2025-002,SEG B2C Campaign - Q3 2025,seg-cet-b2c-q3-2025,CET - B2C,Conversion,01-08-25 0:00,30-09-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,8000,0,800,8800
SEG,NYPSEG2025-002,SEG B2C Campaign - Q3 2025,seg-cet-b2c-q3-2025,CET - B2C,Conversion,01-08-25 0:00,30-09-25 0:00,Digital Ads,Facebook,Mock Data Row,0.1,8000,0,800,8800
SHSS,NYPSHSS2025-001,SHSS Social Work Campaign - Q2 2025,shss-cet-b2c-q2-2025,CET - B2C,Awareness,01-04-25 0:00,01-06-25 0:00,Digital Ads,Facebook,Mock Data Row,0.12,5000,0,600,5600
SHSS,NYPSHSS2025-001,SHSS Social Work Campaign - Q2 2025,shss-cet-b2c-q2-2025,CET - B2C,Awareness,01-04-25 0:00,01-06-25 0:00,Digital Ads,Facebook,Mock Data Row,0.12,5000,0,600,5600
SHSS,NYPSHSS2025-001,SHSS Social Work Campaign - Q2 2025,shss-cet-b2c-q2-2025,CET - B2C,Awareness,01-04-25 0:00,01-06-25 0:00,Digital Ads,Facebook,Mock Data Row,0.12,5000,0,600,5600
SHSS,NYPSHSS2025-001,SHSS Social Work Campaign - Q2 2025,shss-cet-b2c-q2-2025,CET - B2C,Awareness,01-04-25 0:00,01-06-25 0:00,Digital Ads,Facebook,Mock Data Row,0.12,5000,0,600,5600
SHSS,NYPSHSS2025-001,SHSS Social Work Campaign - Q2 2025,shss-cet-b2c-q2-2025,CET - B2C,Awareness,01-04-25 0:00,01-06-25 0:00,Digital Ads,Facebook,Mock Data Row,0.12,5000,0,600,5600
SIT,NYPSIT2025-001,SIT B2B Campaign - Q2 2025,sit-cet-b2b-q2-2025,CET - B2B,Conversion,01-04-25 0:00,30-06-25 0:00,Digital Ads,Facebook,Mock Data Row,0.12,16000,0,1920,17920
SIT,NYPSIT2025-001,SIT B2B Campaign - Q2 2025,sit-cet-b2b-q2-2025,CET - B2B,Conversion,01-04-25 0:00,30-06-25 0:00,Digital Ads,Facebook,Mock Data Row,0.12,16000,0,1920,17920
SIT,NYPSIT2025-001,SIT B2B Campaign - Q2 2025,sit-cet-b2b-q2-2025,CET - B2B,Conversion,01-04-25 0:00,30-06-25 0:00,Digital Ads,Facebook,Mock Data Row,0.12,16000,0,1920,17920
SIT,NYPSIT2025-001,SIT B2B Campaign - Q2 2025,sit-cet-b2b-q2-2025,CET - B2B,Conversion,01-04-25 0:00,30-06-25 0:00,Digital Ads,Facebook,Mock Data Row,0.12,16000,0,1920,17920
ACI,NYPACI2025-001,ACI SCTP Course Campaign - Q3 2025,aci-sctp-q3-2025,CET - B2C,Conversion,01-08-25 0:00,30-09-25 0:00,Digital Ads,Meta (FB + IG),Mock Data Row,0.08,10000,0,800,10800
ACI,NYPACI2025-001,ACI SCTP Course Campaign - Q3 2025,aci-sctp-q3-2025,CET - B2C,Conversion,01-08-25 0:00,30-09-25 0:00,Digital Ads,Meta (FB + IG),Mock Data Row,0.08,10000,0,800,10800
ACI,NYPACI2025-001,ACI SCTP Course Campaign - Q3 2025,aci-sctp-q3-2025,CET - B2C,Conversion,01-08-25 0:00,30-09-25 0:00,Digital Ads,Meta (FB + IG),Mock Data Row,0.08,10000,0,800,10800
ACI,NYPACI2025-001,ACI SCTP Course Campaign - Q3 2025,aci-sctp-q3-2025,CET - B2C,Conversion,01-08-25 0:00,30-09-25 0:00,Digital Ads,Meta (FB + IG),Mock Data Row,0.08,10000,0,800,10800
SIRS,NYPSIRS2025-001,SIRS Lifelong Learning Campaign - Q3 2025,sirs-ll-q3-2025,CET - B2C,Conversion,01-08-25 0:00,30-09-25 0:00,Digital Ads,Meta (FB + IG),Mock Data Row,0.1,12000,0,1200,13200
SIRS,NYPSIRS2025-001,SIRS Lifelong Learning Campaign - Q3 2025,sirs-ll-q3-2025,CET - B2C,Conversion,01-08-25 0:00,30-09-25 0:00,Digital Ads,Meta (FB + IG),Mock Data Row,0.1,12000,0,1200,13200
SIRS,NYPSIRS2025-001,SIRS Lifelong Learning Campaign - Q3 2025,sirs-ll-q3-2025,CET - B2C,Conversion,01-08-25 0:00,30-09-25 0:00,Digital Ads,Meta (FB + IG),Mock Data Row,0.1,12000,0,1200,13200
SIRS,NYPSIRS2025-001,SIRS Lifelong Learning Campaign - Q3 2025,sirs-ll-q3-2025,CET - B2C,Conversion,01-08-25 0:00,30-09-25 0:00,Digital Ads,Meta (FB + IG),Mock Data Row,0.1,12000,0,1200,13200
SIRS,NYPSIRS2025-001,SIRS Lifelong Learning Campaign - Q3 2025,sirs-ll-q3-2025,CET - B2C,Conversion,01-08-25 0:00,30-09-25 0:00,Digital Ads,Meta (FB + IG),Mock Data Row,0.1,12000,0,1200,13200
NACE,NYPNACE2025-001,NACE NWpL Campaign - Q4 2025,nace-nwpl-q4-2025,CET - B2B,Awareness,01-10-25 0:00,20-12-25 0:00,Digital Ads,LinkedIn,Mock Data Row,0.1,12000,0,1200,13200
NACE,NYPNACE2025-001,NACE NWpL Campaign - Q4 2025,nace-nwpl-q4-2025,CET - B2B,Awareness,01-10-25 0:00,20-12-25 0:00,Digital Ads,LinkedIn,Mock Data Row,0.1,12000,0,1200,13200
NACE,NYPNACE2025-001,NACE NWpL Campaign - Q4 2025,nace-nwpl-q4-2025,CET - B2B,Awareness,01-10-25 0:00,20-12-25 0:00,Digital Ads,LinkedIn,Mock Data Row,0.1,12000,0,1200,13200
NACE,NYPNACE2025-001,NACE NWpL Campaign - Q4 2025,nace-nwpl-q4-2025,CET - B2B,Conversion,01-10-25 0:00,20-12-25 0:00,Digital Ads,LinkedIn,Mock Data Row,0.1,12000,0,1200,13200
NACE,NYPNACE2025-001,NACE NWpL Campaign - Q4 2025,nace-nwpl-q4-2025,CET - B2B,Conversion,01-10-25 0:00,20-12-25 0:00,Digital Ads,LinkedIn,Mock Data Row,0.1,12000,0,1200,13200
